Repo,Release,File,SHA
en_twl,v1,twl_1CH.tsv,8dfa031ee35acf863f014b7ccf29170f970d6eb4
en_twl,v2,twl_1CH.tsv,8dfa031ee35acf863f014b7ccf29170f970d6eb4
en_twl,v1,twl_1CO.tsv,933b5f5c2227b6b496a7d0da7f62d2c29ff1d28b
en_twl,v2,twl_1CO.tsv,35e3c41f4e5700f4f51aa2e251eb7e97f4e4cd08
en_twl,v1,twl_1JN.tsv,a76f6347f2065b76d940b51cc273f64a155be513
en_twl,v2,twl_1JN.tsv,a76f6347f2065b76d940b51cc273f64a155be513
en_twl,v1,twl_1KI.tsv,76e014e0fb7f06a525fa5d2e05cdeb203a50354f
en_twl,v2,twl_1KI.tsv,76e014e0fb7f06a525fa5d2e05cdeb203a50354f
en_twl,v1,twl_1PE.tsv,70f1ec4f54b9b57200f0a64893e20982c5da2b5e
en_twl,v2,twl_1PE.tsv,70f1ec4f54b9b57200f0a64893e20982c5da2b5e
en_twl,v1,twl_1SA.tsv,d57e644fecfb71ed89572ff3b158100381a4cec8
en_twl,v2,twl_1SA.tsv,d57e644fecfb71ed89572ff3b158100381a4cec8
en_twl,v1,twl_1TH.tsv,562e38c806eee791adf3c9e9f70944b307570b22
en_twl,v2,twl_1TH.tsv,562e38c806eee791adf3c9e9f70944b307570b22
en_twl,v1,twl_1TI.tsv,9c2ab183d74ec2ed319cb6cc7c385941cd93dc61
en_twl,v2,twl_1TI.tsv,9c2ab183d74ec2ed319cb6cc7c385941cd93dc61
en_twl,v1,twl_2CH.tsv,f7e05eff6b86d58c86557c160135fce83b79ed25
en_twl,v2,twl_2CH.tsv,f7e05eff6b86d58c86557c160135fce83b79ed25
en_twl,v1,twl_2CO.tsv,6061cab0a8ecd3a77a5839702d16a5efe3963ffc
en_twl,v2,twl_2CO.tsv,16a6ae553871917074d15aad9e44110744a4ce79
en_twl,v1,twl_2JN.tsv,1856315a03dc24ed9b7d22aa5d0a637744120c81
en_twl,v2,twl_2JN.tsv,1856315a03dc24ed9b7d22aa5d0a637744120c81
en_twl,v1,twl_2KI.tsv,94df1aef62c99ef56a4f8cb5a0c0af13daf55ad9
en_twl,v2,twl_2KI.tsv,94df1aef62c99ef56a4f8cb5a0c0af13daf55ad9
en_twl,v1,twl_2PE.tsv,3c76864cb425d0e2df4db702714716735d1f8f89
en_twl,v2,twl_2PE.tsv,3c76864cb425d0e2df4db702714716735d1f8f89
en_twl,v1,twl_2SA.tsv,2effae9792f025fa6028556defebff78fba849af
en_twl,v2,twl_2SA.tsv,2effae9792f025fa6028556defebff78fba849af
en_twl,v1,twl_2TH.tsv,130568aae2a1617022d32f604f74e57e29c94eec
en_twl,v2,twl_2TH.tsv,130568aae2a1617022d32f604f74e57e29c94eec
en_twl,v1,twl_2TI.tsv,2940fffebd61ee548dcce53d49e1b2c9dc264ef8
en_twl,v2,twl_2TI.tsv,2940fffebd61ee548dcce53d49e1b2c9dc264ef8
en_twl,v1,twl_3JN.tsv,114662b467694955a6acc60353273838a7350e79
en_twl,v2,twl_3JN.tsv,114662b467694955a6acc60353273838a7350e79
en_twl,v1,twl_ACT.tsv,3b8884afb63bdb01557d65605da132278dbae3b6
en_twl,v2,twl_ACT.tsv,3b8884afb63bdb01557d65605da132278dbae3b6
en_twl,v1,twl_AMO.tsv,378bb98c65ae7892319e25b1981f50b73ccab348
en_twl,v2,twl_AMO.tsv,378bb98c65ae7892319e25b1981f50b73ccab348
en_twl,v1,twl_COL.tsv,c4a57016824e0545ff162faed2d59a6936e26e66
en_twl,v2,twl_COL.tsv,c25ee3e4537b66edbf5586f35ea036333ef19e5f
en_twl,v1,twl_DAN.tsv,67ffeb162e88a453b7d32ff6d9796d2cfebbe83b
en_twl,v2,twl_DAN.tsv,67ffeb162e88a453b7d32ff6d9796d2cfebbe83b
en_twl,v1,twl_DEU.tsv,9eb736ac2a319624e8db6ab533213bc803efb873
en_twl,v2,twl_DEU.tsv,9eb736ac2a319624e8db6ab533213bc803efb873
en_twl,v1,twl_ECC.tsv,d224bf599dd9bdeaa2ec57957d9c39fa74fc7d3b
en_twl,v2,twl_ECC.tsv,d224bf599dd9bdeaa2ec57957d9c39fa74fc7d3b
en_twl,v1,twl_EPH.tsv,21271e80f158c9e6527206e9e42836e50cb57695
en_twl,v2,twl_EPH.tsv,21271e80f158c9e6527206e9e42836e50cb57695
en_twl,v1,twl_EST.tsv,da060441e8f4b37e86f3b08079867bd2ea93d300
en_twl,v2,twl_EST.tsv,da060441e8f4b37e86f3b08079867bd2ea93d300
en_twl,v1,twl_EXO.tsv,4742bcac67198d5755c251c5dbe27a3fe8266784
en_twl,v2,twl_EXO.tsv,ed3386ff4b7df8dbc4f0d97bc7fd5b5cc60a7bcd
en_twl,v1,twl_EZK.tsv,5aa78daf633ad2182f22009afb37130ffb0fcded
en_twl,v2,twl_EZK.tsv,5aa78daf633ad2182f22009afb37130ffb0fcded
en_twl,v1,twl_EZR.tsv,48501176a84fb27d98aae6e6b143272a8d649449
en_twl,v2,twl_EZR.tsv,ed8466999afa6f503f1cd4c88076d211d7d79031
en_twl,v1,twl_GAL.tsv,dc3c2010e43597099ad8f836fbec112f3d44e4e5
en_twl,v2,twl_GAL.tsv,dc3c2010e43597099ad8f836fbec112f3d44e4e5
en_twl,v1,twl_GEN.tsv,b3d2e36d1c20e1fab7ab74fde9d2221a49862d83
en_twl,v2,twl_GEN.tsv,9540712ffb1145c6003900a99715a96e500ce4f3
en_twl,v1,twl_HAB.tsv,bf004fa748c032f87291c07daa1d7579468fdb28
en_twl,v2,twl_HAB.tsv,bf004fa748c032f87291c07daa1d7579468fdb28
en_twl,v1,twl_HAG.tsv,0ffa6130a9a46579479fca941146761e8e474484
en_twl,v2,twl_HAG.tsv,0ffa6130a9a46579479fca941146761e8e474484
en_twl,v1,twl_HEB.tsv,2ba91da85b3367840e26fdb4a24f7ac007a2e322
en_twl,v2,twl_HEB.tsv,2ba91da85b3367840e26fdb4a24f7ac007a2e322
en_twl,v1,twl_HOS.tsv,d87cc1a9ca46527d439cee306409ec24233bbd96
en_twl,v2,twl_HOS.tsv,d87cc1a9ca46527d439cee306409ec24233bbd96
en_twl,v1,twl_ISA.tsv,7c811a258b43229b9f16b8891f547025114196b5
en_twl,v2,twl_ISA.tsv,7c811a258b43229b9f16b8891f547025114196b5
en_twl,v1,twl_JAS.tsv,07ba3bdf40eaa094e2c36ddef7fd7d9959c55256
en_twl,v2,twl_JAS.tsv,07ba3bdf40eaa094e2c36ddef7fd7d9959c55256
en_twl,v1,twl_JDG.tsv,194657cb474fd197b279dc2353701a3ee6eb2a55
en_twl,v2,twl_JDG.tsv,194657cb474fd197b279dc2353701a3ee6eb2a55
en_twl,v1,twl_JER.tsv,49f25317d8a2f2591ae2b54e5c4a7a2367d3fba0
en_twl,v2,twl_JER.tsv,49f25317d8a2f2591ae2b54e5c4a7a2367d3fba0
en_twl,v1,twl_JHN.tsv,53c41e5b51c73e4d7eaffd03377ae4e520936988
en_twl,v2,twl_JHN.tsv,53c41e5b51c73e4d7eaffd03377ae4e520936988
en_twl,v1,twl_JOB.tsv,8d32c324b599e53a590773bbfd2c785aba1be67c
en_twl,v2,twl_JOB.tsv,8d32c324b599e53a590773bbfd2c785aba1be67c
en_twl,v1,twl_JOL.tsv,7ca6d058c93338299086aac208fedb497fabe559
en_twl,v2,twl_JOL.tsv,7ca6d058c93338299086aac208fedb497fabe559
en_twl,v1,twl_JON.tsv,c9822e20e943edfe39d502a5bb9750a25f5039bd
en_twl,v2,twl_JON.tsv,c9822e20e943edfe39d502a5bb9750a25f5039bd
en_twl,v1,twl_JOS.tsv,c2b85b0a5ac23cb91e0bdb0b7dd573194b7ab7ba
en_twl,v2,twl_JOS.tsv,d45b5faa05c67e410f93697166806fcaba1b8dbf
en_twl,v1,twl_JUD.tsv,35b64283ba04453e0a19538446ac554d954a1b14
en_twl,v2,twl_JUD.tsv,35b64283ba04453e0a19538446ac554d954a1b14
en_twl,v1,twl_LAM.tsv,f12430726c2e34d189f6926f69d14e07a0644721
en_twl,v2,twl_LAM.tsv,f12430726c2e34d189f6926f69d14e07a0644721
en_twl,v1,twl_LEV.tsv,c0f9f298d1237b89fcee1b39a99a966535e201e1
en_twl,v2,twl_LEV.tsv,c0f9f298d1237b89fcee1b39a99a966535e201e1
en_twl,v1,twl_LUK.tsv,db94057c4c29255da4344fa530e37fb3b2ab7c31
en_twl,v2,twl_LUK.tsv,68d5abd5b26c0b5fa0f7428a096deaf95057b7e2
en_twl,v1,twl_MAL.tsv,9ec88ec7b8826782625f297fbfeb69b10041ecb0
en_twl,v2,twl_MAL.tsv,9ec88ec7b8826782625f297fbfeb69b10041ecb0
en_twl,v1,twl_MAT.tsv,feb4bae721c1f90d2710ea3fc3966536d200028b
en_twl,v2,twl_MAT.tsv,4ee2ac8c8d8ecaacec30662da2b3206712bbb72a
en_twl,v1,twl_MIC.tsv,72dee936b006f10e42a0fabfb2ce5042f8a5956d
en_twl,v2,twl_MIC.tsv,72dee936b006f10e42a0fabfb2ce5042f8a5956d
en_twl,v1,twl_MRK.tsv,6657c7f98a00f379fe38833fe889b3927326ed1e
en_twl,v2,twl_MRK.tsv,6657c7f98a00f379fe38833fe889b3927326ed1e
en_twl,v1,twl_NAM.tsv,34a49880aa1070a244b2efcb55467869c57599bc
en_twl,v2,twl_NAM.tsv,34a49880aa1070a244b2efcb55467869c57599bc
en_twl,v1,twl_NEH.tsv,01bdcda4977f8b2aa6738bfcf941fa184ad8de53
en_twl,v2,twl_NEH.tsv,01bdcda4977f8b2aa6738bfcf941fa184ad8de53
en_twl,v1,twl_NUM.tsv,d1fabab6dd6d20378ca4689de2810ebd11832117
en_twl,v2,twl_NUM.tsv,d1fabab6dd6d20378ca4689de2810ebd11832117
en_twl,v1,twl_OBA.tsv,6c3bf4716082b5147dd639168c66b4bea16f6f04
en_twl,v2,twl_OBA.tsv,6c3bf4716082b5147dd639168c66b4bea16f6f04
en_twl,v1,twl_PHM.tsv,16cdc224b924733bd51657f72f38b32f04499f0d
en_twl,v2,twl_PHM.tsv,16cdc224b924733bd51657f72f38b32f04499f0d
en_twl,v1,twl_PHP.tsv,daf6bf55b53a3c8100b8fe2851edc124ecc15ed2
en_twl,v2,twl_PHP.tsv,daf6bf55b53a3c8100b8fe2851edc124ecc15ed2
en_twl,v1,twl_PRO.tsv,4fe34eb9db4482c8728d09df3158dde6315603ba
en_twl,v2,twl_PRO.tsv,4fe34eb9db4482c8728d09df3158dde6315603ba
en_twl,v1,twl_PSA.tsv,d450a7d0f306bd7107820a253460dd7ad6072ea3
en_twl,v2,twl_PSA.tsv,d450a7d0f306bd7107820a253460dd7ad6072ea3
en_twl,v1,twl_REV.tsv,4d820003a475fe62c142843a3660aa42f40e420d
en_twl,v2,twl_REV.tsv,4d820003a475fe62c142843a3660aa42f40e420d
en_twl,v1,twl_ROM.tsv,8adf4bc7f6243a0e06583b047dba21f692561f1d
en_twl,v2,twl_ROM.tsv,8adf4bc7f6243a0e06583b047dba21f692561f1d
en_twl,v1,twl_RUT.tsv,4818a1379839c8216e110147049550d918a74fc1
en_twl,v2,twl_RUT.tsv,4818a1379839c8216e110147049550d918a74fc1
en_twl,v1,twl_SNG.tsv,8ebc0082aba0a352df97457596981a897dad2857
en_twl,v2,twl_SNG.tsv,8ebc0082aba0a352df97457596981a897dad2857
en_twl,v1,twl_TIT.tsv,e74a0c552295cc7a3eb70b8678ae0bd7af5fa9c4
en_twl,v2,twl_TIT.tsv,e74a0c552295cc7a3eb70b8678ae0bd7af5fa9c4
en_twl,v1,twl_ZEC.tsv,7e839746b2dd1614822d7639117364e064b6fb08
en_twl,v2,twl_ZEC.tsv,7e839746b2dd1614822d7639117364e064b6fb08
en_twl,v1,twl_ZEP.tsv,79e67c8cf65e8a6ce171b4c3881b8bc27edf808e
en_twl,v2,twl_ZEP.tsv,79e67c8cf65e8a6ce171b4c3881b8bc27edf808e
